症状,草药
133,559 1039 1088
227,445 461 559 665 685 785 1039 1047
316,440
23,657 946 1099 1163
346,944
356 385,442
275,403 591 1093
358,510 561
141 214,528 565 572 938
344,514 528 565 750 816
275,403 591 1093
56 161 298,445 497 559 591 662 951 1000 1039 1175
305,497 548 591 731 825 933 951
50,445 808 825 1194
344,423 445 789 973 1088
341,413 1088
305,689 951
305,393 422 689 771
305,422 449 637
332,1047 1088
332,869
14,443 689
308,528 650 656 850 1182
84,468 477 509 532 549 558 560 629 633 748 787 845 1036 1184
141,425 494 528 617 722 732 813 1144
264,549 572 642 692 748 759 833 869 952 980 1144 1184
56,405 441 692 735 764 833 869 980
261 307,720 876 947 1150
305,411 422 473 528 549 565 637 771 854 1093 1184
305,422 449 637
335,813 951
37,427
50 341,449 528 537 646 758 946 1093 1099 1124
92 100 124,632 637 687 1182
114 239 264,689 816 869 980 1039
341,558 642 809 813 855
305,425 521 528 813 947 1002 1067 1119 1141 1148
14,685
211,985
211,985
211,597 759
349,841
23 357,897
99,709
341,442 461 537 632 955 1124 1182
335,572
99 317,549 560 572
32,572 758
211,597 759
293 314,422 510 637 646 650 668 759 764
178 335,549 572 759 771 844 876 947 974 985 1067 1106 1150
83,951 1184
100,428 882 1159
382,409 460 500 574 612 663 745 1000 1094 1139 1144 1200
99 317,403 409 478 500 528 574 612 716 759 770 1000 1104 1144 1194
178 211,431 528 564 637 705 790 813 823 897 947 1170
178 211,425 468 528 532 549 560 574 612 731 759 813 911 929 947 1000 1067 1084 1093 1144 1184
293 314,422 510 637 646 650 668 759 764
227,522 559 642 685 937 1039
92,433 477 759 787 869 898 1144
83,951 1184
100,428 882 1159
252,445 696 1047
227,534 581 947
227,522 559 642 685 937 1039
227,445 522 874 937 1011 1039 1088 1100
227,445 514 522 559 642 685 937 1144
252,445 696 1047
252,445 1020 1088 1194
97,419 422 528 833 947 1026 1136
223,422 566 598 716 771 900
341,442
227,443 445 492 514 522 559 565 665 685 689 816 834 1039 1088 1191
5 56 64 67 211 264 341 357,642 748 813 1036
341,642 748 813 1144
99 252,522 608 1039
97,611
133,445 760 785
252,473 565 771 844
344,559 689 868
341,413 442 537 813 947 1069 1124
341,442
223,1143
40 344,443 559 662 689 868 905 951 1039 1143
289,596
100 144 335,428 549 759 882 1000 1054 1144 1150 1184
308 378,528 549 650 833 1136
336,390 535 882 1096 1144
99 211 341,457 528 816
211,433 478 572 812
5 34 167 200 341 378,514 537 591 646 869 1093 1124
346,509 528 689 816 1017
283 292,393
212 384,445 528 1091
318,425 572 637 759 812 813 947 1144
139 279 314,642 785 834 869
264,477 572 642 759 787 807 869 898 951 980 1008 1036 1076 1091 1144
14 93 167 171 283 305,434 514 608 685 789 816 825 951 973 1039 1088
93,559 608 637 685 808 825 1017 1039 1196
141 148,473 488 528 809 813 947 1077 1088 1132
155 344,445 497 558 597 598 759 855 934 951 1039 1088 1175 1179
5 200 341,665 751 1000 1039 1144 1175
227,559 869 980 1000 1144
